2020-12-16T17:34:58.285073+0200 parsing page1 of 1... INFO
2020-12-16T17:34:59.323223+0200 we get 2 laptops INFO
%(asctime)s;%(levelname)s;%(message)s
%(asctime)s;%(levelname)s;%(message)s
2020-12-20T18:28:02.782649+0200 parsing page 25 of 34... DEBUG
2020-12-20T18:28:02.782712+0200 parsing page 26 of 34... DEBUG
2020-12-20T18:28:02.782799+0200 parsing page 27 of 34... DEBUG
2020-12-20T18:28:02.782870+0200 parsing page 28 of 34... DEBUG
2020-12-20T18:28:02.782934+0200 parsing page 29 of 34... DEBUG
2020-12-20T18:28:02.782996+0200 parsing page 30 of 34... DEBUG
2020-12-20T18:28:02.783059+0200 parsing page 31 of 34... DEBUG
2020-12-20T18:28:02.783122+0200 parsing page 32 of 34... DEBUG
2020-12-20T18:28:02.783186+0200 parsing page 33 of 34... DEBUG
2020-12-20T18:28:02.783249+0200 parsing page 34 of 34... DEBUG
2020-12-20T18:40:48.704856+0200 parsing page 1 of 1... DEBUG
2020-12-20T18:40:49.573875+0200 we get 1 laptops sony DEBUG
2020-12-20T18:41:53.896293+0200 parsing page 1 of 1... DEBUG
2020-12-20T18:41:54.578382+0200 we get 1 laptops sony DEBUG
